text,g,frequency
Sophia,F,21171
Emma,F,20905
Olivia,F,18397
Noah,M,18206
Liam,M,18111
Jacob,M,18110
Mason,M,17668
Isabella,F,17599
William,M,16595
Ethan,M,16216
Michael,M,15453
Ava,F,15225
Alexander,M,14871
Jayden,M,14729
Daniel,M,14251
Elijah,M,13743
Aiden,M,13591
James,M,13527
Benjamin,M,13460
Matthew,M,13304
Mia,F,13127
Emily,F,13107
Jackson,M,12568
Abigail,F,12387
Logan,M,12336
David,M,12334
Anthony,M,12234
Joseph,M,12195
Joshua,M,11784
Andrew,M,11638
Lucas,M,11525
Gabriel,M,11202
Samuel,M,11088
Christopher,M,10829
John,M,10687
Madison,F,10575
Dylan,M,10097
Isaac,M,10090
Ryan,M,9859
Nathan,M,9690
Caleb,M,9570
Carter,M,9560
Luke,M,9558
Elizabeth,F,9431
Christian,M,9305
Charlotte,F,9285
Avery,F,9167
Sofia,F,9148
Hunter,M,8942
Henry,M,8858
Chloe,F,8762
Owen,M,8748
Landon,M,8727
Jack,M,8564
Wyatt,M,8538
Jonathan,M,8524
Ella,F,8428
Harper,F,8275
Amelia,F,8023
Aubrey,F,7950
Eli,M,7921
Isaiah,M,7838
Addison,F,7718
Evelyn,F,7653
Sebastian,M,7538
Jaxon,M,7534
Julian,M,7504
Natalie,F,7465
Brayden,M,7422
Gavin,M,7413
Levi,M,7403
Grace,F,7354
Aaron,M,7289
Hannah,F,7284
Oliver,M,7254
Zoey,F,7224
Victoria,F,7190
Jordan,M,7179
Nicholas,M,7126
Evan,M,7103
Connor,M,7099
Lillian,F,7062
Charles,M,7000
Lily,F,6976
Jeremiah,M,6933
Brooklyn,F,6875
Cameron,M,6841
Adrian,M,6830
Thomas,M,6765
Robert,M,6690
Tyler,M,6632
Samantha,F,6494
Austin,M,6474
Colton,M,6470
Layla,F,6467
Jace,M,6375
Angel,M,6353
Dominic,M,6306
Josiah,M,6286
Brandon,M,6210
Ayden,M,6060
Zoe,F,5967
Kevin,M,5924
Zachary,M,5738
Parker,M,5659
Blake,M,5634
Jose,M,5619
Leah,F,5597
Audrey,F,5588
Grayson,M,5546
Chase,M,5527
Jason,M,5492
Allison,F,5431
Ian,M,5411
Bentley,M,5365
Anna,F,5363
Savannah,F,5234
Adam,M,5232
Aaliyah,F,5217
Gabriella,F,5204
Camila,F,5141
Aria,F,5107
Kaylee,F,5105
Scarlett,F,5048
Hailey,F,5008
Arianna,F,4987
Xavier,M,4962
Riley,F,4925
Cooper,M,4880
Justin,M,4857
Alexis,F,4769
Nevaeh,F,4751
Nolan,M,4739
Sarah,F,4686
Hudson,M,4660
Claire,F,4656
Sadie,F,4644
Easton,M,4639
Peyton,F,4556
Jase,M,4549
Carson,M,4524
Nathaniel,M,4512
Jaxson,M,4447
Aubree,F,4438
Serenity,F,4429
Kayden,M,4415
Ariana,F,4403
Brody,M,4323
Genesis,F,4292
Penelope,F,4280
Alyssa,F,4192
Bella,F,4166
Taylor,F,4131
Alexa,F,4095
Lincoln,M,4029
Kylie,F,4019
Mackenzie,F,4012
Tristan,M,4000
Luis,M,3997
Caroline,F,3973
Damian,M,3961
Kennedy,F,3949
Autumn,F,3945
Lucy,F,3943
Ashley,F,3936
Madelyn,F,3927
Violet,F,3924
Stella,F,3904
Brianna,F,3889
Camden,M,3887
Juan,M,3877
Vincent,M,3845
Maya,F,3814
Bryson,M,3800
Skylar,F,3780
Ryder,M,3768
Ellie,F,3757
Julia,F,3743
Sophie,F,3740
Katherine,F,3711
Asher,M,3703
Mila,F,3676
Micah,M,3674
Carlos,M,3671
Khloe,F,3666
Jesus,M,3665
Maxwell,M,3632
Paisley,F,3598
Mateo,M,3580
Annabelle,F,3543
Alex,M,3539
Max,M,3513
Nora,F,3505
Alexandra,F,3503
Leo,M,3503
Elias,M,3490
Melanie,F,3465
London,F,3448
Cole,M,3448
Naomi,F,3435
Gianna,F,3434
Eva,F,3423
Miles,M,3413
Silas,M,3397
Faith,F,3392
Madeline,F,3368
Bryce,M,3347
Lauren,F,3341
Nicole,F,3341
Ruby,F,3304
Makayla,F,3278
Kayla,F,3252
Eric,M,3252
Lydia,F,3246
Brantley,M,3186
Piper,F,3179
Sydney,F,3170
Sawyer,M,3159
Jocelyn,F,3144
Morgan,F,3110
Declan,M,3109
Kaiden,M,3095
Kimberly,F,3094
Braxton,M,3093
Molly,F,3076
Jasmine,F,3047
Timothy,M,3038
Colin,M,3037
Reagan,F,3034
Santiago,M,3026
Antonio,M,3016
Bailey,F,3008
Eleanor,F,3005
Giovanni,M,2978
Hayden,M,2958
Alice,F,2932
Diego,M,2917
Trinity,F,2909
Leonardo,M,2905
Rylee,F,2894
Jonah,M,2889
Bryan,M,2885
