text,g,frequency
Jacob,M,24259
Michael,M,21972
Ethan,M,21016
Joshua,M,20642
Daniel,M,20239
Christopher,M,19999
Anthony,M,19614
Emily,F,19350
Isabella,F,19130
William,M,18876
Matthew,M,18729
Andrew,M,18441
Emma,F,18365
Alexander,M,18128
Ava,F,18045
Madison,F,17950
David,M,17521
Joseph,M,17324
Sophia,F,17018
Noah,M,16585
Olivia,F,16573
James,M,15948
Ryan,M,15701
Abigail,F,15462
Logan,M,15312
Jayden,M,15228
John,M,14424
Nicholas,M,14352
Tyler,M,14081
Christian,M,14047
Jonathan,M,13785
Nathan,M,13584
Samuel,M,13346
Hannah,F,13296
Benjamin,M,13268
Aiden,M,13098
Elizabeth,F,13037
Gabriel,M,12898
Dylan,M,12806
Elijah,M,12398
Brandon,M,12130
Addison,F,11944
Samantha,F,11871
Gavin,M,11853
Jackson,M,11658
Ashley,F,11423
Angel,M,11363
Alyssa,F,11259
Jose,M,11245
Caleb,M,10938
Mia,F,10909
Mason,M,10761
Chloe,F,10743
Jack,M,10666
Kevin,M,10530
Natalie,F,10434
Evan,M,10287
Isaac,M,10252
Zachary,M,10210
Isaiah,M,10102
Justin,M,10040
Jordan,M,10036
Sarah,F,9985
Alexis,F,9904
Grace,F,9761
Luke,M,9602
Ella,F,9540
Robert,M,9367
Austin,M,9184
Landon,M,9093
Cameron,M,8974
Aaron,M,8933
Thomas,M,8924
Brianna,F,8845
Lucas,M,8750
Hailey,F,8427
Aidan,M,8418
Connor,M,8321
Owen,M,8244
Diego,M,8211
Hunter,M,8199
Jason,M,8109
Luis,M,8046
Taylor,F,7957
Anna,F,7883
Adrian,M,7731
Kayla,F,7573
Lily,F,7495
Charles,M,7450
Lauren,F,7435
Victoria,F,7427
Juan,M,7415
Brayden,M,7219
Savannah,F,7042
Nevaeh,F,6799
Adam,M,6779
Julian,M,6775
Jasmine,F,6763
Jeremiah,M,6615
Xavier,M,6552
Lillian,F,6544
Wyatt,M,6520
Carlos,M,6409
Hayden,M,6270
Sebastian,M,6270
Alex,M,6268
Jaden,M,6250
Ian,M,6247
Sean,M,6237
Jesus,M,6217
Bryan,M,6176
Chase,M,6151
Julia,F,6131
Carter,M,6099
Brian,M,6073
Nathaniel,M,6055
Sofia,F,6044
Kaylee,F,6041
Sydney,F,6028
Eric,M,5951
Gabriella,F,5836
Katherine,F,5811
Alexa,F,5784
Destiny,F,5725
Jessica,F,5704
Cole,M,5700
Morgan,F,5662
Kaitlyn,F,5546
Brooke,F,5507
Allison,F,5451
Makayla,F,5420
Dominic,M,5412
Avery,F,5380
Kyle,M,5353
Alexandra,F,5350
Tristan,M,5330
Jocelyn,F,5290
Blake,M,5269
Audrey,F,5248
Riley,F,5207
Liam,M,5135
Carson,M,5119
Maria,F,5118
Henry,M,5110
Kimberly,F,5100
Evelyn,F,5050
Caden,M,5044
Brady,M,4950
Zoe,F,4931
Miguel,M,4898
Brooklyn,F,4883
Angelina,F,4852
Rachel,F,4821
Andrea,F,4796
Madeline,F,4702
Maya,F,4699
Kylie,F,4655
Jennifer,F,4648
Antonio,M,4631
Mackenzie,F,4621
Cooper,M,4618
Claire,F,4611
Steven,M,4547
Leah,F,4545
Gabrielle,F,4542
Kaden,M,4519
Aubrey,F,4505
Arianna,F,4478
Vanessa,F,4440
Timothy,M,4430
Richard,M,4419
Devin,M,4408
Trinity,F,4368
Ariana,F,4323
Ayden,M,4318
Faith,F,4296
Alejandro,M,4278
Victor,M,4267
Katelyn,F,4251
Brody,M,4219
Josiah,M,4218
Haley,F,4196
Amelia,F,4191
Jesse,M,4124
Megan,F,4121
Isabelle,F,4102
Parker,M,4071
Sara,F,4017
Melanie,F,3997
Sophie,F,3985
Riley,M,3969
Vincent,M,3956
Aaliyah,F,3952
Bryce,M,3936
Bailey,F,3929
Layla,F,3900
Jake,M,3879
Nicole,F,3864
Isabel,F,3862
Kaleb,M,3812
Stephanie,F,3804
Paige,F,3791
Preston,M,3789
Seth,M,3766
Patrick,M,3733
Gianna,F,3713
Autumn,F,3710
Mariah,F,3702
Mary,F,3674
Marcus,M,3662
Colton,M,3656
Colin,M,3608
Michelle,F,3592
Jada,F,3569
Cody,M,3555
Oscar,M,3546
Gracie,F,3474
Jeremy,M,3426
Joel,M,3419
Molly,F,3413
Valeria,F,3410
Caroline,F,3404
Ashton,M,3378
Peyton,M,3371
Charlotte,F,3326
Jordan,F,3326
Mya,F,3320
Micah,M,3305
Jenna,F,3301
Ivan,M,3271
Jorge,M,3268
Alan,M,3247
Eli,M,3235
Madelyn,F,3214
Rebecca,F,3213
Omar,M,3213
Levi,M,3199
Diana,F,3181
Sadie,F,3174
Nolan,M,3170
Giovanni,M,3108
Kenneth,M,3103
Daniela,F,3076
Natalia,F,3069
Trevor,M,3058
Kennedy,F,3052
Amanda,F,3038
Zoey,F,3031
Jade,F,3030
Katie,F,2987
Damian,M,2985
Mark,M,2967
Adriana,F,2925
Cristian,M,2916
Oliver,M,2907
Ruby,F,2894
Eva,F,2893
Max,M,2879
Gabriela,F,2857
Derek,M,2853
Eduardo,M,2844
Nicolas,M,2832
Amy,F,2828
Briana,F,2823
Edward,M,2821
Naomi,F,2779
Ricardo,M,2779
Peyton,F,2774
Danielle,F,2772
Lydia,F,2764
Paul,M,2762
George,M,2757
Angela,F,2752
Gage,M,2734
Serenity,F,2731
Tanner,M,2727
Francisco,M,2725
Andres,M,2718
Maxwell,M,2713
Emmanuel,M,2709
Malachi,M,2706
Leslie,F,2690
Braden,M,2687
Fernando,M,2686
Keira,F,2674
Camila,F,2661
Alexis,M,2653
Conner,M,2627
Jayla,F,2625
Rylee,F,2625
Jacqueline,F,2620
Marissa,F,2618
Jared,M,2599
Giselle,F,2596
Lucy,F,2569
Grant,M,2568
Garrett,M,2560
Kate,F,2550
Javier,M,2546
Leonardo,M,2525
Jonah,M,2509
Melissa,F,2500
Breanna,F,2489
Genesis,F,2485
Jordyn,F,2485
Erin,F,2474
Catherine,F,2468
Alana,F,2458
Erick,M,2432
Cesar,M,2425
Valerie,F,2424
Edgar,M,2419
Manuel,M,2413
Amber,F,2402
Travis,M,2402
Lilly,F,2399
Edwin,M,2393
Stephen,M,2369
Spencer,M,2365
Cheyenne,F,2364
Laila,F,2363
Elias,M,2360
Shelby,F,2350
Shawn,M,2347
Reese,F,2345
Cayden,M,2338
Peter,M,2336
Trenton,M,2333
Bryson,M,2320
Liliana,F,2317
Angel,F,2292
Mario,M,2285
Payton,F,2280
Josue,M,2272
Miranda,F,2269
Ashlyn,F,2261
Reagan,F,2259
Damien,M,2256
Kylee,F,2253
Bella,F,2252
Summer,F,2249
Hector,M,2237
Shane,M,2235
Mckenzie,F,2226
Juliana,F,2224
Collin,M,2224
Ana,F,2223
Kathryn,F,2208
Alexandria,F,2196
Kayden,M,2195
Karen,F,2171
Kendall,F,2163
Daisy,F,2157
Johnathan,M,2147
Abraham,M,2141
Miles,M,2132
Jaxon,M,2129
Jeffrey,M,2125
Jaiden,M,2119
Sierra,F,2109
Jaylen,M,2084
Adrianna,F,2075
Sienna,F,2075
Bradley,M,2074
Wesley,M,2060
Skylar,F,2055
Sergio,M,2044
Jayden,F,2040
Donovan,M,2039
Jace,M,2031
Erik,M,2027
Margaret,F,2025
Christina,F,2018
Ellie,F,2010
Bianca,F,1975
Mariana,F,1974
Santiago,M,1967
Dakota,M,1954
Raymond,M,1952
Landen,M,1950
Alicia,F,1947
Alexia,F,1941
Makenzie,F,1938
Israel,M,1935
Brendan,M,1926
Hudson,M,1895
Roman,M,1885
Martin,M,1878
Maggie,F,1871
Marco,M,1866
Devon,M,1857
Mikayla,F,1851
Grayson,M,1851
Laura,F,1839
Alondra,F,1836
Dalton,M,1832
Jazmin,F,1831
Andre,M,1830
Drew,M,1830
Andy,M,1827
Jillian,F,1786
Julianna,F,1785
Ariel,F,1778
Braxton,M,1772
Kyra,F,1758
Ryder,M,1753
Tessa,F,1752
Camden,M,1747
Roberto,M,1747
Kaiden,M,1745
Esmeralda,F,1743
Elena,F,1741
Avery,M,1741
Alina,F,1735
Brooklynn,F,1735
Hayden,F,1734
Annabelle,F,1726
Sabrina,F,1725
Nadia,F,1719
Cadence,F,1707
Keegan,M,1706
Kendra,F,1699
Kelsey,F,1698
Amaya,F,1696
Delaney,F,1688
Aniyah,F,1685
Jasmin,F,1685
Hope,F,1681
Gregory,M,1679
Lincoln,M,1655
Cassidy,F,1653
Harrison,M,1653
Alivia,F,1646
Chelsea,F,1641
Vivian,F,1639
Dominick,M,1629
Maddox,M,1628
Rafael,M,1622
Tiffany,F,1620
Kiara,F,1618
Calvin,M,1616
Caitlyn,F,1610
Aliyah,F,1609
Pedro,M,1609
Troy,M,1602
Zane,M,1597
Camryn,F,1595
Crystal,F,1594
Karina,F,1588
Scarlett,F,1582
Karla,F,1580
Joselyn,F,1577
Asher,M,1577
Abby,F,1576
Kelly,F,1568
Josephine,F,1562
Elise,F,1557
Mckenna,F,1554
Lindsey,F,1553
Dillon,M,1548
Zion,M,1548
Clara,F,1547
Lukas,M,1547
Alaina,F,1538
Violet,F,1536
Ty,M,1534
Kyla,F,1528
Leo,M,1528
Caitlin,F,1527
Drake,M,1520
Courtney,F,1514
Angelica,F,1512
Fatima,F,1512
Sawyer,M,1510
Johnny,M,1503
Julissa,F,1500
Izabella,F,1495
Haylee,F,1492
Allie,F,1487
