text,g,frequency
Isabella,F,22283
Jacob,M,21154
Ethan,M,19836
Michael,M,18917
Alexander,M,18217
William,M,17905
Emma,F,17883
Joshua,M,17630
Daniel,M,17527
Olivia,F,17425
Jayden,M,17270
Noah,M,17231
Sophia,F,16929
Christopher,M,16339
Anthony,M,16291
Aiden,M,16010
Matthew,M,15974
Ava,F,15863
David,M,15424
Emily,F,15340
Madison,F,15224
Joseph,M,14902
Andrew,M,14849
Logan,M,14447
Abigail,F,14382
James,M,14181
Benjamin,M,13107
Ryan,M,13103
Elijah,M,12808
Gabriel,M,12805
Christian,M,12630
Samuel,M,12136
Nathan,M,12113
Jackson,M,12111
John,M,12103
Chloe,F,11901
Tyler,M,11534
Mia,F,11416
Jonathan,M,11366
Dylan,M,11350
Elizabeth,F,11023
Caleb,M,10983
Nicholas,M,10843
Gavin,M,10734
Mason,M,10677
Addison,F,10658
Evan,M,10274
Landon,M,10152
Alexis,F,9924
Angel,M,9841
Brandon,M,9835
Samantha,F,9655
Ella,F,9644
Lucas,M,9600
Isaac,M,9547
Natalie,F,9404
Isaiah,M,9230
Jack,M,9017
Jose,M,8807
Kevin,M,8766
Jordan,M,8641
Justin,M,8615
Luke,M,8614
Brayden,M,8590
Liam,M,8560
Grace,F,8307
Carter,M,8166
Owen,M,8139
Connor,M,8096
Lily,F,8093
Zachary,M,8077
Aaron,M,7966
Alyssa,F,7955
Robert,M,7815
Ashley,F,7811
Sarah,F,7767
Hunter,M,7736
Thomas,M,7716
Adrian,M,7631
Cameron,M,7629
Taylor,F,7579
Hannah,F,7565
Wyatt,M,7396
Chase,M,7383
Julian,M,7377
Brianna,F,7346
Hailey,F,7310
Charles,M,7279
Austin,M,7276
Jeremiah,M,7214
Kaylee,F,7210
Jason,M,6914
Lillian,F,6850
Anna,F,6797
Leah,F,6780
Allison,F,6579
Victoria,F,6352
Avery,F,6295
Juan,M,6281
Xavier,M,6205
Gabriella,F,6137
Luis,M,6135
Nevaeh,F,6100
Sebastian,M,5985
Henry,M,5893
Kayla,F,5832
Aidan,M,5803
Ian,M,5801
Sofia,F,5688
Adam,M,5664
Brooklyn,F,5660
Riley,F,5631
Savannah,F,5584
Evelyn,F,5580
Nathaniel,M,5420
Diego,M,5413
Aubrey,F,5404
Brody,M,5384
Jesus,M,5384
Carlos,M,5373
Tristan,M,5346
Dominic,M,5323
Peyton,F,5311
Alexa,F,5305
Cole,M,5274
Makayla,F,5257
Layla,F,5200
Lauren,F,5198
Alex,M,5161
Zoe,F,5144
Cooper,M,5072
Sydney,F,5054
Levi,M,5009
Audrey,F,5007
Josiah,M,5002
Carson,M,4997
Ayden,M,4994
Julia,F,4988
Blake,M,4943
Eli,M,4908
Jasmine,F,4874
Hayden,M,4857
Bryan,M,4848
Arianna,F,4834
Claire,F,4824
Brooke,F,4793
Colton,M,4766
Amelia,F,4694
Brian,M,4650
Eric,M,4636
Parker,M,4624
Morgan,F,4610
Destiny,F,4601
Bella,F,4530
Madelyn,F,4495
Katherine,F,4426
Maya,F,4389
Kylie,F,4382
Aaliyah,F,4366
Sean,M,4331
Madeline,F,4299
Oliver,M,4285
Sophie,F,4263
Kimberly,F,4221
Kaitlyn,F,4201
Charlotte,F,4182
Kyle,M,4171
Miguel,M,4169
Jaden,M,4160
Alexandra,F,4158
Maria,F,4131
Jocelyn,F,4110
Valeria,F,4087
Andrea,F,4058
Kaden,M,4057
Caden,M,4020
Trinity,F,4013
Zoey,F,3991
Max,M,3954
Gianna,F,3934
Antonio,M,3907
Mackenzie,F,3896
Steven,M,3821
Jessica,F,3793
Riley,M,3783
Kaleb,M,3778
Faith,F,3758
Timothy,M,3752
Brady,M,3741
Camila,F,3733
Autumn,F,3708
Bryce,M,3707
Ariana,F,3687
Jesse,M,3670
Genesis,F,3667
Colin,M,3654
Payton,F,3643
Bailey,F,3637
Angelina,F,3632
Caroline,F,3621
Richard,M,3605
Mariah,F,3592
Rachel,F,3578
Katelyn,F,3565
Joel,M,3557
Ashton,M,3555
Victor,M,3542
Micah,M,3539
Vanessa,F,3517
Molly,F,3504
Vincent,M,3491
Melanie,F,3483
Serenity,F,3472
Preston,M,3462
Khloe,F,3453
Alejandro,M,3438
Nolan,M,3434
Gabrielle,F,3419
Paige,F,3407
Marcus,M,3404
Mya,F,3403
Eva,F,3391
Jaxon,M,3390
Jake,M,3381
Devin,M,3377
Damian,M,3344
Eduardo,M,3334
Isabelle,F,3304
Patrick,M,3246
Lucy,F,3176
Mary,F,3155
Santiago,M,3124
Oscar,M,3114
Natalia,F,3106
Maxwell,M,3078
Michelle,F,3076
Giovanni,M,3069
Collin,M,3057
Megan,F,3055
Sara,F,3039
Naomi,F,3030
Ruby,F,3014
Cody,M,2995
Ivan,M,2988
Jennifer,F,2986
Isabel,F,2979
Edward,M,2979
Sadie,F,2968
Kayden,M,2962
Jeremy,M,2938
Seth,M,2937
Stephanie,F,2919
Jada,F,2889
Gage,M,2880
Gracie,F,2860
Kennedy,F,2860
Alan,M,2843
Rylee,F,2827
Lilly,F,2824
Lydia,F,2819
Nicole,F,2764
Cayden,M,2747
Emmanuel,M,2734
Grant,M,2725
Ryder,M,2717
Jonah,M,2715
Peyton,M,2704
Trevor,M,2660
Liliana,F,2650
Hudson,M,2648
Jenna,F,2632
London,F,2628
Haley,F,2617
Bryson,M,2606
Kenneth,M,2604
Jordyn,F,2586
Mark,M,2570
Adriana,F,2568
Stella,F,2558
Omar,M,2548
Reagan,F,2537
Jayla,F,2536
Jorge,M,2513
Conner,M,2493
Jade,F,2488
Nicolas,M,2488
Amy,F,2483
Elias,M,2482
Hayden,F,2473
Rebecca,F,2462
Tanner,M,2452
Paul,M,2422
Kendall,F,2414
Giselle,F,2402
Miles,M,2402
Cristian,M,2399
George,M,2380
Laila,F,2376
Leonardo,M,2365
Daniela,F,2363
Asher,M,2349
Malachi,M,2343
Jace,M,2339
Melissa,F,2333
Valerie,F,2317
Derek,M,2301
Ricardo,M,2301
Kaiden,M,2299
Gabriela,F,2292
Jaiden,M,2263
Violet,F,2260
Keira,F,2258
Angela,F,2256
Andres,M,2255
Grayson,M,2255
Katie,F,2243
Reese,F,2234
Braxton,M,2234
Ellie,F,2233
Jaylen,M,2233
Wesley,M,2206
Travis,M,2196
Ashlyn,F,2190
Piper,F,2186
Kylee,F,2176
Marley,F,2170
Shane,M,2128
Fernando,M,2124
Abraham,M,2105
Maddox,M,2102
Jordan,F,2093
Jude,M,2091
Francisco,M,2083
Briana,F,2071
Juliana,F,2070
Daisy,F,2069
Lyla,F,2068
Mckenzie,F,2061
Garrett,M,2058
Annabelle,F,2054
Jillian,F,2038
Braden,M,2030
Alexis,M,2018
Javier,M,2016
Lincoln,M,2011
Damien,M,2008
Peter,M,2008
Erick,M,2003
Aliyah,F,1986
Kate,F,1985
Leslie,F,1979
Josue,M,1975
Edwin,M,1974
Izabella,F,1967
Jacqueline,F,1967
Brooklynn,F,1963
Vivian,F,1963
Camden,M,1959
Amanda,F,1952
Manuel,M,1951
Rylan,M,1950
Bradley,M,1948
Diana,F,1943
Mario,M,1937
Lila,F,1934
Shelby,F,1933
Danielle,F,1932
Scarlett,F,1920
Cesar,M,1919
Stephen,M,1914
Adrianna,F,1912
Edgar,M,1907
Harper,F,1901
Alana,F,1899
Makenzie,F,1895
Sawyer,M,1895
Summer,F,1893
Catherine,F,1888
Angel,F,1877
Jaxson,M,1863
Hector,M,1842
Roman,M,1835
Johnathan,M,1834
Trenton,M,1831
Landen,M,1830
Mikayla,F,1828
Alivia,F,1827
Aniyah,F,1823
Ana,F,1822
Miranda,F,1812
Shawn,M,1800
Leo,M,1797
Marissa,F,1794
Israel,M,1776
Amber,F,1767
Cheyenne,F,1767
Jayden,F,1765
Skylar,F,1764
Margaret,F,1762
Brendan,M,1759
Kai,M,1754
Jared,M,1753
Donovan,M,1739
Miley,F,1732
Jeffrey,M,1717
Julianna,F,1701
Malia,F,1699
Eliana,F,1697
Delilah,F,1696
Spencer,M,1692
Erin,F,1691
Braylon,M,1691
Elena,F,1680
Sienna,F,1671
Sierra,F,1669
Nora,F,1667
Andy,M,1658
Andre,M,1646
Clara,F,1645
Raymond,M,1640
Alexandria,F,1638
Ty,M,1638
Avery,M,1630
Josephine,F,1624
Tucker,M,1612
Ezekiel,M,1609
Kingston,M,1607
Sergio,M,1605
Amaya,F,1596
Keegan,M,1595
Mateo,M,1593
Drake,M,1585
Valentina,F,1583
Breanna,F,1578
Calvin,M,1575
Eden,F,1568
Ariel,F,1567
Tessa,F,1567
Alicia,F,1559
Griffin,M,1557
Erik,M,1553
Jazmin,F,1541
Martin,M,1522
Elise,F,1521
Haylee,F,1520
Kelsey,F,1520
Zane,M,1515
Kathryn,F,1514
Chance,M,1511
Sabrina,F,1509
Carly,F,1507
Mckenna,F,1505
Tyson,M,1489
Aurora,F,1487
Eleanor,F,1486
Troy,M,1486
Mariana,F,1477
Dalton,M,1473
Zion,M,1471
Alexia,F,1470
Harrison,M,1464
Lola,F,1463
Marco,M,1463
Christina,F,1462
Brennan,M,1462
Addyson,F,1455
Jazmine,F,1454
Cadence,F,1452
Alondra,F,1447
Melody,F,1447
Alison,F,1446
Lukas,M,1446
Kayleigh,F,1445
Xander,M,1443
Dominick,M,1437
Karen,F,1433
Chelsea,F,1429
Hope,F,1427
Maggie,F,1425
Gregory,M,1423
Roberto,M,1416
Laura,F,1407
Allie,F,1405
Bianca,F,1396
Maximus,M,1395
Jayda,F,1394
Kendra,F,1390
Leila,F,1388
Kara,F,1387
Cash,M,1387
Delaney,F,1385
Ryleigh,F,1384
Dakota,M,1382
Silas,M,1373
Aden,M,1371
Easton,M,1368
Makenna,F,1367
Malik,M,1357
Cassidy,F,1355
Brielle,F,1345
Camryn,F,1344
Nadia,F,1344
Ezra,M,1342
Rafael,M,1342
Johnny,M,1340
Quinn,M,1339
Simon,M,1331
Graham,M,1328
Skyler,M,1328
Caiden,M,1327
Callie,F,1321
Alina,F,1320
Axel,M,1318
