text,g,frequency
Sophia,F,21824
Jacob,M,20349
Isabella,F,19882
Mason,M,19493
Emma,F,18781
William,M,17325
Olivia,F,17305
Jayden,M,16968
Noah,M,16845
Michael,M,16760
Ethan,M,16674
Alexander,M,15688
Ava,F,15485
Aiden,M,15477
Daniel,M,15258
Anthony,M,14250
Emily,F,14241
Matthew,M,14154
Elijah,M,13942
Joshua,M,13739
Liam,M,13431
Andrew,M,13262
Abigail,F,13237
James,M,13236
David,M,13208
Benjamin,M,13051
Christopher,M,12983
Logan,M,12971
Joseph,M,12936
Jackson,M,12388
Madison,F,12371
Gabriel,M,12324
Mia,F,11520
Ryan,M,11487
Samuel,M,11334
John,M,11027
Chloe,F,10977
Nathan,M,10496
Lucas,M,10391
Christian,M,10304
Jonathan,M,10218
Elizabeth,F,10071
Caleb,M,10016
Dylan,M,9765
Landon,M,9745
Isaac,M,9589
Ella,F,9580
Addison,F,9292
Gavin,M,9005
Brayden,M,9002
Tyler,M,8824
Luke,M,8697
Evan,M,8649
Natalie,F,8630
Carter,M,8594
Nicholas,M,8584
Isaiah,M,8512
Owen,M,8329
Jack,M,8177
Lily,F,8172
Jordan,M,8050
Brandon,M,7805
Wyatt,M,7673
Grace,F,7627
Julian,M,7611
Aaron,M,7610
Jeremiah,M,7585
Angel,M,7526
Cameron,M,7506
Connor,M,7401
Samantha,F,7384
Hunter,M,7352
Avery,F,7336
Adrian,M,7327
Sofia,F,7324
Henry,M,7226
Eli,M,7200
Aubrey,F,7170
Brooklyn,F,7158
Justin,M,7099
Austin,M,7022
Charles,M,6974
Robert,M,6959
Lillian,F,6909
Thomas,M,6904
Victoria,F,6880
Zachary,M,6795
Jose,M,6757
Evelyn,F,6704
Levi,M,6637
Hannah,F,6560
Kevin,M,6555
Sebastian,M,6540
Alexis,F,6511
Charlotte,F,6421
Zoey,F,6394
Leah,F,6380
Amelia,F,6363
Zoe,F,6294
Hailey,F,6265
Chase,M,6183
Ayden,M,6122
Gabriella,F,6086
Nevaeh,F,6080
Layla,F,6074
Kaylee,F,6040
Alyssa,F,6005
Jason,M,5834
Anna,F,5649
Ian,M,5616
Blake,M,5605
Colton,M,5588
Bentley,M,5564
Sarah,F,5547
Allison,F,5460
Savannah,F,5443
Xavier,M,5430
Dominic,M,5423
Oliver,M,5406
