text,g,frequency
Jacob,M,29620
Michael,M,27111
Emily,F,25685
Joshua,M,25087
Matthew,M,23992
Emma,F,22701
Andrew,M,22146
Ethan,M,21354
Joseph,M,21352
Daniel,M,21032
Christopher,M,20741
Madison,F,20197
Anthony,M,20142
William,M,19988
Nicholas,M,19689
Ryan,M,19571
David,M,18606
Tyler,M,18175
Alexander,M,17705
Hannah,F,17628
John,M,17222
James,M,16889
Olivia,F,16143
Abigail,F,15918
Dylan,M,15697
Zachary,M,15539
Brandon,M,15233
Jonathan,M,14981
Alexis,F,14860
Samuel,M,14655
Ashley,F,14512
Elizabeth,F,14096
Benjamin,M,14069
Christian,M,13893
Samantha,F,13865
Isabella,F,13771
Sarah,F,13756
Nathan,M,13657
Justin,M,13651
Logan,M,13184
Grace,F,12771
Alyssa,F,12743
Gabriel,M,12516
Jose,M,12389
Noah,M,11834
Kevin,M,11728
Austin,M,11686
Caleb,M,11637
Robert,M,11387
Lauren,F,11048
Kayla,F,10949
Thomas,M,10930
Elijah,M,10658
Brianna,F,10580
Jessica,F,10445
Jordan,M,10327
Taylor,F,10305
Aidan,M,10061
Cameron,M,9961
Hunter,M,9899
Jason,M,9818
Sophia,F,9683
Connor,M,9669
Evan,M,9441
Anna,F,9440
Jack,M,9316
Luke,M,9297
Victoria,F,9242
Angel,M,9152
Natalie,F,9145
Chloe,F,9076
Isaac,M,8933
Sydney,F,8910
Isaiah,M,8884
Aaron,M,8859
Hailey,F,8791
Gavin,M,8760
Jackson,M,8711
Kyle,M,8649
Jasmine,F,8059
Rachel,F,7976
Morgan,F,7926
Mason,M,7895
Juan,M,7827
Megan,F,7797
Eric,M,7784
Charles,M,7693
Adam,M,7684
Brian,M,7668
Luis,M,7579
Jennifer,F,7564
Kaitlyn,F,7546
Julia,F,7434
Haley,F,7195
Katherine,F,7123
Sean,M,7101
Mia,F,7080
Destiny,F,6971
Alex,M,6791
Nathaniel,M,6665
Bryan,M,6617
Alexandra,F,6544
Ian,M,6464
Ava,F,6279
Nicole,F,6227
Carlos,M,6216
Jesus,M,6159
Savannah,F,6151
Adrian,M,6109
Maria,F,6086
Brooke,F,5966
Ella,F,5900
Cole,M,5899
Mackenzie,F,5864
Steven,M,5854
Allison,F,5850
Paige,F,5756
Lucas,M,5752
Owen,M,5697
Aiden,M,5683
Jordan,F,5649
Devin,M,5644
Stephanie,F,5601
Faith,F,5592
Makayla,F,5580
Kylie,F,5558
Jayden,M,5542
Timothy,M,5477
Kaylee,F,5450
Julian,M,5407
Cody,M,5396
Jenna,F,5351
Amanda,F,5339
Blake,M,5274
Seth,M,5255
Dominic,M,5216
Jaden,M,5182
Trinity,F,5123
Diego,M,5118
Hayden,M,5100
Zoe,F,5085
Xavier,M,5063
Richard,M,5052
Katelyn,F,5051
Chase,M,5012
Mary,F,5010
Andrea,F,4976
Madeline,F,4974
Colin,M,4875
Michelle,F,4868
Carson,M,4860
Rebecca,F,4858
Jeremiah,M,4848
Kimberly,F,4824
Patrick,M,4789
Sara,F,4759
Antonio,M,4715
Sebastian,M,4646
Gabrielle,F,4598
Alexa,F,4596
Jesse,M,4596
Miguel,M,4588
Caroline,F,4584
Lily,F,4434
Victor,M,4434
Landon,M,4410
Jake,M,4401
Trevor,M,4385
Vanessa,F,4351
Alejandro,M,4315
Angelina,F,4269
Riley,F,4242
Sierra,F,4238
Ashton,M,4215
Carter,M,4171
Bryce,M,4127
Amber,F,4120
Riley,M,4076
Autumn,F,4055
Lillian,F,4029
Mark,M,4026
Gabriella,F,4020
Audrey,F,3997
