text,g,frequency
Isabella,F,22890
Jacob,M,22095
Sophia,F,20623
Ethan,M,17993
Emma,F,17327
Michael,M,17324
Jayden,M,17158
William,M,17036
Olivia,F,17017
Alexander,M,16746
Noah,M,16438
Daniel,M,15819
Aiden,M,15520
Anthony,M,15475
Joshua,M,15425
Ava,F,15421
Mason,M,14836
Emily,F,14262
Christopher,M,14259
Abigail,F,14231
Andrew,M,14227
David,M,14176
Matthew,M,14114
Logan,M,14014
Elijah,M,13875
James,M,13861
Joseph,M,13806
Madison,F,13170
Gabriel,M,12859
Benjamin,M,12421
Ryan,M,11964
Samuel,M,11948
Jackson,M,11812
Chloe,F,11745
John,M,11543
Nathan,M,11367
Jonathan,M,11113
Christian,M,11084
Liam,M,10924
Mia,F,10628
Dylan,M,10507
Landon,M,10464
Caleb,M,10462
Tyler,M,10436
Lucas,M,10369
Addison,F,10320
Elizabeth,F,10248
Ella,F,9869
Evan,M,9722
Nicholas,M,9637
Gavin,M,9608
Isaac,M,9347
Brayden,M,9101
Luke,M,8835
Natalie,F,8766
Angel,M,8762
Isaiah,M,8562
Brandon,M,8534
Jack,M,8516
Samantha,F,8398
Alexis,F,8257
Jordan,M,8224
Owen,M,8171
Carter,M,8150
Connor,M,8047
Lily,F,7975
Justin,M,7839
Jeremiah,M,7720
Jose,M,7698
Grace,F,7676
Julian,M,7573
Robert,M,7542
Aaron,M,7458
Adrian,M,7397
Wyatt,M,7367
Kevin,M,7319
Hunter,M,7312
Cameron,M,7188
Zachary,M,7169
Thomas,M,7115
Charles,M,7093
Hailey,F,7011
Alyssa,F,6980
Hannah,F,6978
Lillian,F,6948
Austin,M,6895
Avery,F,6670
Eli,M,6554
Leah,F,6528
Chase,M,6432
Nevaeh,F,6406
Henry,M,6392
Sebastian,M,6353
Sofia,F,6323
Anna,F,6315
Sarah,F,6314
Ashley,F,6306
Brianna,F,6271
Jason,M,6265
Zoe,F,6263
Victoria,F,6221
Gabriella,F,6170
Brooklyn,F,6114
Kaylee,F,6089
Levi,M,5990
Taylor,F,5892
Layla,F,5884
Allison,F,5861
Evelyn,F,5838
Xavier,M,5746
Ian,M,5553
Riley,F,5535
Amelia,F,5454
Khloe,F,5400
Makayla,F,5388
Savannah,F,5366
Aubrey,F,5356
Charlotte,F,5354
Colton,M,5312
Dominic,M,5291
Cooper,M,5254
Juan,M,5237
Zoey,F,5200
Josiah,M,5200
Ayden,M,5126
Luis,M,5126
Bella,F,5112
Adam,M,5096
Carson,M,5096
Nathaniel,M,5094
Kayla,F,5048
Brody,M,5048
Alexa,F,5037
Peyton,F,4967
Audrey,F,4949
Claire,F,4915
Tristan,M,4888
Arianna,F,4833
Parker,M,4728
Diego,M,4714
Blake,M,4696
Julia,F,4674
Oliver,M,4662
Aaliyah,F,4659
Kylie,F,4594
Carlos,M,4584
Cole,M,4583
Jaden,M,4513
Lauren,F,4465
Jesus,M,4451
