text,g,frequency
Jacob,M,24832
Michael,M,22628
Joshua,M,22308
Emily,F,21393
Ethan,M,20501
Matthew,M,20321
Daniel,M,20051
Andrew,M,19707
Christopher,M,19668
Anthony,M,19395
Emma,F,19107
William,M,18946
Madison,F,18614
Joseph,M,18431
Isabella,F,18218
Alexander,M,18215
David,M,17614
Ava,F,16937
Ryan,M,16424
Noah,M,16324
James,M,16228
Nicholas,M,15665
Abigail,F,15625
Tyler,M,15532
Olivia,F,15491
John,M,15153
Logan,M,15140
Hannah,F,14539
Christian,M,14469
Jonathan,M,14367
Nathan,M,14270
Benjamin,M,13751
Samuel,M,13625
Sophia,F,13496
Dylan,M,13161
Brandon,M,12673
Gabriel,M,12530
Samantha,F,12457
Elizabeth,F,12417
Ashley,F,12340
Elijah,M,12038
Mia,F,12021
Jose,M,11595
Angel,M,11594
Aiden,M,11577
Alexis,F,11222
Sarah,F,11144
Zachary,M,11001
Caleb,M,10989
Grace,F,10965
Natalie,F,10942
Jackson,M,10889
Jack,M,10836
Kevin,M,10774
Gavin,M,10474
Isaiah,M,10440
Mason,M,10407
Chloe,F,10396
Austin,M,10282
Alyssa,F,10169
Evan,M,10127
Luke,M,10082
Aidan,M,10031
Justin,M,9963
Jordan,M,9918
Robert,M,9893
Isaac,M,9669
Jayden,M,9620
Landon,M,9567
Thomas,M,9505
Brianna,F,9361
Ella,F,9204
Cameron,M,8847
Connor,M,8666
Anna,F,8600
Hunter,M,8565
Taylor,F,8556
Lauren,F,8493
Jason,M,8440
Hailey,F,8420
Diego,M,8397
Aaron,M,8291
Kayla,F,8223
Owen,M,8170
Lucas,M,8133
Charles,M,8006
Juan,M,7933
Luis,M,7918
Victoria,F,7644
Addison,F,7620
Jasmine,F,7516
Adrian,M,7380
Savannah,F,7081
Julia,F,6882
Jessica,F,6809
Adam,M,6791
Julian,M,6789
Lily,F,6764
Bryan,M,6694
Alex,M,6666
Sean,M,6634
Nathaniel,M,6620
Carlos,M,6539
Jeremiah,M,6538
Sydney,F,6513
Brian,M,6504
Morgan,F,6490
Hayden,M,6463
Jesus,M,6455
Carter,M,6430
Destiny,F,6303
Katherine,F,6293
Sebastian,M,6278
Lillian,F,6229
Eric,M,6227
Xavier,M,6173
Brayden,M,6153
Ian,M,6151
Kyle,M,6147
Alexa,F,6110
Alexandra,F,6097
Kaitlyn,F,6070
Kaylee,F,5987
Nevaeh,F,5934
Wyatt,M,5834
Brooke,F,5745
Chase,M,5739
Makayla,F,5643
Cole,M,5637
Maria,F,5594
Dominic,M,5570
Allison,F,5560
Rachel,F,5524
Angelina,F,5517
Tristan,M,5405
Gabriella,F,5368
Jennifer,F,5267
Avery,F,5247
Mackenzie,F,5202
Zoe,F,5152
Sofia,F,5078
Riley,F,5052
Maya,F,5045
Carson,M,5011
Kimberly,F,5006
Andrea,F,5003
Jaden,M,4945
Megan,F,4940
Miguel,M,4898
Katelyn,F,4880
Faith,F,4855
Gabrielle,F,4836
Trinity,F,4834
Steven,M,4814
Caden,M,4773
Evelyn,F,4748
Kaden,M,4741
Kylie,F,4714
Brooklyn,F,4710
Timothy,M,4700
Antonio,M,4691
Henry,M,4665
Leah,F,4649
Audrey,F,4647
Alejandro,M,4547
Blake,M,4529
Liam,M,4511
Stephanie,F,4507
Madeline,F,4476
Richard,M,4466
Devin,M,4442
Sara,F,4400
Riley,M,4391
Jocelyn,F,4367
Jesse,M,4362
Seth,M,4325
Nicole,F,4318
Victor,M,4306
Haley,F,4292
Arianna,F,4284
Paige,F,4262
Ariana,F,4231
Vanessa,F,4163
Cody,M,4097
Mary,F,4086
Michelle,F,4084
Brady,M,4082
Mariah,F,4068
Amelia,F,4061
Isabelle,F,4039
Melanie,F,4033
Vincent,M,4027
Jake,M,4026
Claire,F,4012
Isabel,F,4008
Bryce,M,3972
Patrick,M,3944
Jenna,F,3938
Colin,M,3857
Marcus,M,3801
Caroline,F,3788
Cooper,M,3747
Aaliyah,F,3742
Valeria,F,3729
Preston,M,3715
Kaleb,M,3698
Jada,F,3671
Parker,M,3666
Aubrey,F,3654
Josiah,M,3643
Oscar,M,3600
Ayden,M,3595
Natalia,F,3583
Autumn,F,3578
Rebecca,F,3556
Jordan,F,3539
Jorge,M,3516
Ashton,M,3488
Alan,M,3471
Joel,M,3452
Gianna,F,3449
Jeremy,M,3442
Jayla,F,3408
Layla,F,3357
Amanda,F,3355
Mya,F,3354
Trevor,M,3328
Eduardo,M,3316
Ivan,M,3309
Gracie,F,3293
Mark,M,3243
Kenneth,M,3238
Alexis,M,3201
Marissa,F,3161
Molly,F,3124
Omar,M,3104
Adriana,F,3095
Katie,F,3087
Leslie,F,3036
Cristian,M,3023
Keira,F,3022
Gabriela,F,3021
Paul,M,3021
Levi,M,3017
Colton,M,3000
Jade,F,2993
Eli,M,2981
Bailey,F,2976
Jared,M,2976
Damian,M,2970
Garrett,M,2964
Madelyn,F,2948
Nicolas,M,2938
Angela,F,2922
Kennedy,F,2903
Danielle,F,2896
Melissa,F,2891
Edward,M,2867
Tanner,M,2866
Jacqueline,F,2857
Braden,M,2856
Zoey,F,2848
Conner,M,2847
Diana,F,2840
Micah,M,2838
Nolan,M,2838
Giovanni,M,2828
Brody,M,2818
Maxwell,M,2790
Catherine,F,2789
Eva,F,2788
Briana,F,2783
Sophie,F,2783
Charlotte,F,2778
Malachi,M,2771
Breanna,F,2762
Fernando,M,2756
Valerie,F,2747
Amy,F,2744
Ricardo,M,2700
Naomi,F,2699
George,M,2699
Grant,M,2688
Francisco,M,2685
Gage,M,2685
Peyton,M,2685
Edwin,M,2671
Lydia,F,2661
Derek,M,2647
Erin,F,2642
Max,M,2641
Daniela,F,2632
Shelby,F,2615
Rylee,F,2600
Serenity,F,2597
Andres,M,2597
Travis,M,2597
Javier,M,2590
Amber,F,2586
Ruby,F,2579
Stephen,M,2548
Manuel,M,2543
Peyton,F,2534
Miranda,F,2496
Emmanuel,M,2484
Peter,M,2477
Cesar,M,2472
Shawn,M,2470
Sierra,F,2457
Ashlyn,F,2454
Kate,F,2441
Kathryn,F,2416
Ana,F,2411
Jonah,M,2409
Edgar,M,2390
Dakota,M,2362
Skylar,F,2349
Oliver,M,2349
Erick,M,2344
Kylee,F,2339
Alexandria,F,2328
Hector,M,2327
Kendall,F,2322
Bryson,M,2312
Johnathan,M,2303
Mario,M,2295
Daisy,F,2294
Lilly,F,2276
Shane,M,2273
Liliana,F,2267
Jeffrey,M,2266
Summer,F,2258
Lucy,F,2256
Mikayla,F,2250
Jazmin,F,2240
Reagan,F,2237
Christina,F,2226
Sadie,F,2226
Angel,F,2222
Collin,M,2221
Abraham,M,2203
Margaret,F,2188
Reese,F,2187
Leonardo,M,2186
Spencer,M,2185
Juliana,F,2183
Brendan,M,2170
Elias,M,2160
Payton,F,2156
Jace,M,2139
Bradley,M,2134
Alexia,F,2130
Alicia,F,2129
Mckenzie,F,2127
Erik,M,2127
Alana,F,2117
Wesley,M,2101
Giselle,F,2089
Genesis,F,2086
Jaylen,M,2075
Cheyenne,F,2073
Alondra,F,2068
Trenton,M,2068
Laura,F,2060
Josue,M,2051
Raymond,M,2036
Karen,F,2028
Jillian,F,2002
Ellie,F,1992
Damien,M,1991
Mariana,F,1990
Sienna,F,1986
Sergio,M,1986
Devon,M,1980
Donovan,M,1966
Jordyn,F,1963
Camila,F,1962
Adrianna,F,1959
Bella,F,1953
Jasmin,F,1942
Bianca,F,1941
Dalton,M,1938
Miles,M,1937
Martin,M,1936
Israel,M,1923
Landen,M,1912
Kiara,F,1902
Andy,M,1899
Kelsey,F,1895
Lindsey,F,1883
Elena,F,1872
Andre,M,1871
Nadia,F,1867
Marco,M,1864
Drew,M,1859
Maggie,F,1853
Dakota,F,1838
Gregory,M,1833
Courtney,F,1832
Chelsea,F,1824
Roman,M,1814
Delaney,F,1813
Julianna,F,1812
Ty,M,1798
Kyra,F,1795
Sabrina,F,1793
Avery,M,1791
Jaxon,M,1785
Makenzie,F,1779
Hope,F,1772
Cassidy,F,1770
Caitlyn,F,1753
Cayden,M,1752
Crystal,F,1741
Jaiden,M,1735
Dominick,M,1732
Ariel,F,1729
Roberto,M,1728
Rafael,M,1700
Jayden,F,1692
Kyla,F,1692
Abby,F,1684
Grayson,M,1680
Angelica,F,1667
Annabelle,F,1665
Karla,F,1656
Caitlin,F,1652
Calvin,M,1648
Pedro,M,1648
Tiffany,F,1643
Taylor,M,1628
Veronica,F,1623
Camden,M,1620
Kelly,F,1610
Dillon,M,1608
Ciara,F,1606
Braxton,M,1602
Cadence,F,1598
Clayton,M,1594
Keegan,M,1594
Amaya,F,1593
Jalen,M,1591
Ruben,M,1591
Camryn,F,1581
Troy,M,1581
Mckenna,F,1570
Kayden,M,1568
Elise,F,1566
Cassandra,F,1557
Harrison,M,1557
Santiago,M,1551
Dawson,M,1550
Josephine,F,1548
Erica,F,1547
Aniyah,F,1546
Esmeralda,F,1537
Vivian,F,1536
Julissa,F,1530
Karina,F,1530
Corey,M,1529
Jazmine,F,1525
Fatima,F,1515
Allie,F,1507
Savanna,F,1500
Leo,M,1500
Maddox,M,1500
Clara,F,1493
Makenna,F,1492
Alejandra,F,1487
Mallory,F,1469
Johnny,M,1455
Kai,M,1449
Aliyah,F,1447
Laila,F,1445
Brooklynn,F,1434
Erika,F,1430
Cynthia,F,1419
Brenda,F,1417
Simon,M,1416
Julio,M,1415
Jamie,F,1411
Stella,F,1411
Zane,M,1410
Drake,M,1407
Kaiden,M,1407
Lukas,M,1406
Aden,M,1404
Bethany,F,1403
Kendra,F,1402
Frank,M,1400
Sawyer,M,1389
Marcos,M,1386
Nora,F,1384
Piper,F,1382
Haylee,F,1374
Ronald,M,1373
Trey,M,1371
Hudson,M,1370
Asher,M,1367
Scott,M,1362
Derrick,M,1361
Alaina,F,1360
Kira,F,1360
Monica,F,1360
Raul,M,1353
Griffin,M,1352
Carly,F,1350
Tessa,F,1350
Heaven,F,1343
Ryder,M,1342
Dustin,M,1334
Rylan,M,1327
Alivia,F,1321
Angelo,M,1312
Brock,M,1311
Tucker,M,1311
Emanuel,M,1310
Guadalupe,F,1305
Armando,M,1303
Zion,M,1299
Kyler,M,1297
Gerardo,M,1291
Payton,M,1291
Joanna,F,1288
Ezekiel,M,1288
Carmen,F,1282
Skyler,M,1280
Kailey,F,1274
Allyson,F,1271
Fabian,M,1271
Colby,M,1270
Chance,M,1269
Mateo,M,1269
Violet,F,1265
Aniya,F,1262
Paris,F,1261
Mitchell,M,1253
Lindsay,F,1248
Keith,M,1248
Tyson,M,1247
Cecilia,F,1243
Darius,M,1240
Jaime,M,1240
Xander,M,1236
Enrique,M,1234
Quinn,M,1232
Ayla,F,1231
Kayleigh,F,1226
Rebekah,F,1225
Allen,M,1225
Joaquin,M,1224
Kameron,M,1224
Hanna,F,1222
Eleanor,F,1220
Phillip,M,1219
Dulce,F,1218
Alayna,F,1216
Alison,F,1216
Katelynn,F,1216
Cade,M,1215
Georgia,F,1214
Macy,F,1213
Nina,F,1211
Trent,M,1209
Kamryn,F,1205
Eliana,F,1199
Carolina,F,1196
Lola,F,1196
Kaylie,F,1195
Kara,F,1191
Malik,M,1191
Tatiana,F,1186
Dante,M,1182
Corbin,M,1180
Pablo,M,1173
Leila,F,1161
Selena,F,1159
Jakob,M,1156
Jadyn,F,1150
Miriam,F,1149
Brayan,M,1149
Esther,F,1148
Anastasia,F,1146
Anahi,F,1142
Cameron,F,1133
Axel,M,1132
Theodore,M,1132
Ashlynn,F,1126
Izabella,F,1125
Josie,F,1124
Heidi,F,1123
Emilio,M,1122
Jayda,F,1120
Saul,M,1120
Scarlett,F,1116
Brennan,M,1113
Julie,F,1110
Lincoln,M,1109
Lorenzo,M,1108
Melody,F,1105
Desiree,F,1100
Adan,M,1098
Donald,M,1097
Kiera,F,1093
Paola,F,1088
Callie,F,1085
Jaden,F,1085
Brett,M,1081
Gustavo,M,1080
Zander,M,1080
Hayley,F,1075
Danny,M,1073
Camille,F,1072
Casey,M,1070
Emely,F,1068
Emerson,F,1068
Aurora,F,1067
Leilani,F,1067
Daniella,F,1066
Meredith,F,1064
Talan,M,1058
Estrella,F,1056
Joselyn,F,1054
Myles,M,1050
Randy,M,1050
Diamond,F,1049
Skyler,F,1037
April,F,1031
Caiden,M,1031
Eden,F,1029
Rylie,F,1027
Gael,M,1026
Brittany,F,1025
Dennis,M,1024
Marisol,F,1021
Meghan,F,1021
Lizbeth,F,1018
Yasmin,F,1015
Alberto,M,1015
Eliza,F,1014
Nancy,F,1014
Celeste,F,1013
Brenden,M,1010
Mathew,M,1009
Jerry,M,1008
Ryleigh,F,1007
Lila,F,1006
Shayla,F,1003
Asia,F,1002
Lance,M,1001
Louis,M,1001
Michaela,F,1000
Zackary,M,998
Julius,M,993
Arturo,M,991
Fiona,F,990
Ismael,M,987
Amir,M,986
Jimmy,M,986
Annika,F,985
Ivy,F,985
Lane,M,984
Sasha,F,982
Alec,M,982
Tony,M,982
Madeleine,F,979
Jude,M,979
Lucia,F,976
Heather,F,974
Emiliano,M,971
Esteban,M,971
Ashlee,F,969
Harmony,F,969
Claudia,F,966
Braeden,M,966
Kaitlin,F,956
Rose,F,956
Holly,F,955
Lexi,F,955
Helen,F,948
Tatum,F,947
Bridget,F,945
Samara,F,945
London,F,942
Presley,F,939
Alfredo,M,938
Tristen,M,937
Nickolas,M,936
Danica,F,934
Alina,F,932
Charlie,M,931
Wendy,F,930
Abel,M,922
Natasha,F,919
Shannon,F,919
Curtis,M,915
Madalyn,F,914
Kaydence,F,913
Kyleigh,F,912
Ezra,M,909
Philip,M,907
Shaun,M,904
Leland,M,900
Alessandra,F,896
Moises,M,896
Talia,F,894
Phoebe,F,890
Sandra,F,890
Marvin,M,890
Camron,M,889
Genevieve,F,888
Ruth,F,888
Sherlyn,F,887
Cindy,F,881
Quentin,M,881
Iris,F,880
Kaelyn,F,879
Kathleen,F,877
Kristen,F,875
Addyson,F,874
Priscilla,F,873
Luca,M,872
Gary,M,869
Jay,M,867
Dallas,M,863
Jayson,M,862
Emilee,F,860
Alissa,F,859
Albert,M,858
Itzel,F,857
Johanna,F,857
Jonas,M,855
Katrina,F,853
Denise,F,852
Nia,F,852
Orlando,M,852
Walter,M,850
Brenna,F,845
Cora,F,844
Easton,M,844
Alice,F,843
Perla,F,842
Chris,M,840
Janiya,F,838
Angie,F,836
Nyla,F,835
Harley,F,834
Ali,M,827
Nehemiah,M,825
Darren,M,824
Rodrigo,M,823
Janelle,F,822
Douglas,M,822
Ramon,M,822
Morgan,M,821
Bennett,M,817
Declan,M,817
Kadence,F,813
Rachael,F,813
Elliot,M,812
Ximena,F,811
Hugo,M,811
Dana,F,809
Nataly,F,809
Nayeli,F,809
Mauricio,M,809
Rosa,F,808
Serena,F,808
Joe,M,807
Annie,F,806
Kiana,F,801
Brynn,F,799
Chad,M,799
Silas,M,799
Kaylin,F,798
Jonathon,M,798
Maximus,M,795
Kristina,F,794
Weston,M,793
Arthur,M,792
Ernesto,M,791
Larry,M,791
Cash,M,787
Maddison,F,786
Imani,F,782
Malia,F,782
Kirsten,F,781
Marina,F,781
Damon,M,781
Keaton,M,781
Madyson,F,780
Nikolas,M,780
Dean,M,778
Anya,F,777
Holden,M,776
Patricia,F,775
Yahir,M,775
Elliott,M,773
Lana,F,772
Bryant,M,771
Casey,F,770
Madisyn,F,767
Jaxson,M,767
Marley,F,766
Sage,F,766
Salvador,M,766
Eddie,M,763
Kassandra,F,762
Dane,M,762
Hayden,F,761
Lesly,F,761
Felix,M,760
Maurice,M,760
Ricky,M,759
Emilia,F,758
Braydon,M,758
Kristopher,M,758
Yesenia,F,757
Jadon,M,756
Anderson,M,754
Chandler,M,753
Braylon,M,752
Uriel,M,751
Francesca,F,747
Bryanna,F,746
Kimora,F,745
Sidney,F,745
Aubree,F,744
Kiley,F,742
Haylie,F,741
Lauryn,F,741
Teagan,F,741
Skye,F,740
Russell,M,740
Fernanda,F,738
Logan,F,737
Raven,F,732
Davis,M,732
Madilyn,F,731
Isiah,M,729
Christine,F,728
Lawrence,M,728
Raegan,F,727
Marc,M,727
Dayanara,F,726
Mercedes,F,725
Valentina,F,724
Lilian,F,723
Jaelyn,F,722
Issac,M,721
Justice,M,721
Sarai,F,720
Tania,F,718
Elaina,F,716
Taryn,F,716
Javon,M,714
Lilliana,F,713
Lacey,F,711
Tate,M,710
Viviana,F,708
Gloria,F,701
Linda,F,698
Tori,F,697
Reece,M,697
Walker,M,695
Hallie,F,694
Noelle,F,694
Ainsley,F,693
Kassidy,F,692
Cohen,M,690
Jaydon,M,690
Zachariah,M,690
Anne,F,689
Hailee,F,689
Ryan,F,689
Micheal,M,689
Marshall,M,688
America,F,687
Brielle,F,687
Janiyah,F,686
Tara,F,685
Melany,F,684
Amari,M,683
Reid,M,683
Jaiden,F,682
Hazel,F,681
Nasir,M,680
Adeline,F,676
Isabela,F,675
Clarissa,F,673
Phoenix,M,673
Rowan,M,672
Baylee,F,670
Jimena,F,669
Alyson,F,668
Britney,F,668
Jameson,M,668
Alanna,F,667
Melvin,M,667
Amya,F,666
Jenny,F,666
Jane,F,664
Tiana,F,663
Talon,M,659
Macie,F,658
Miracle,F,657
Carl,M,657
Jayce,M,656
Elle,F,652
Cory,M,652
Graham,M,649
Penelope,F,648
Lena,F,643
Jeffery,M,643
Reese,M,643
Anika,F,641
Anaya,F,640
Laney,F,640
Shania,F,639
Lillie,F,637
Kaleigh,F,636
Kade,M,635
Kelvin,M,632
Abbigail,F,630
Emilie,F,630
Skylar,M,630
Demetrius,M,628
Halle,F,626
Kailyn,F,626
Beau,M,623
Franklin,M,621
Hadley,F,620
Guillermo,M,620
Jaylin,M,618
Jamari,M,616
Mekhi,M,616
Cristina,F,615
Maritza,F,615
Moses,M,614
Elisabeth,F,613
Brodie,M,613
Terry,M,613
Marisa,F,611
Carla,F,610
Athena,F,607
Joy,F,607
Lisa,F,607
Paulina,F,607
Noel,M,606
Rodney,M,605
Raquel,F,604
Nelson,M,604
Krystal,F,603
Virginia,F,603
Natalee,F,602
Everett,M,600
Deandre,M,598
Khalil,M,598
Noe,M,598
Harper,F,597
Maia,F,597
Marilyn,F,597
Roy,M,596
Helena,F,595
Jon,M,595
Roger,M,594
Luna,F,592
Finn,M,592
Nathanael,M,592
Jaqueline,F,591
Kiersten,F,591
Marlene,F,591
Norah,F,591
Jamarion,M,591
Felipe,M,590
Izaiah,M,589
Tommy,M,586
Carolyn,F,585
Sam,M,585
Amari,F,583
Desmond,M,582
Terrance,M,582
Sylvia,F,581
Danna,F,579
Lia,F,579
Martha,F,579
Saniya,F,578
Dorian,M,578
Kristian,M,578
Leonel,M,578
Kenya,F,577
Willow,F,577
Lexie,F,575
Kaitlynn,F,574
Ayanna,F,573
Ariel,M,573
Mohamed,M,573
Rihanna,F,571
Tabitha,F,571
Deanna,F,570
Reed,M,567
Pamela,F,566
Branden,M,566
Jazlyn,F,565
Teresa,F,565
Billy,M,565
Whitney,F,564
Yazmin,F,561
Solomon,M,560
Aileen,F,558
Grady,M,557
Davion,M,556
Jermaine,M,556
Frederick,M,555
Quinton,M,554
Porter,M,553
Liberty,F,552
Tobias,M,551
Nathalie,F,550
Bruce,M,549
Kali,F,548
Jaylon,M,547
Justice,F,546
Bobby,M,546
Jessie,M,546
Quinn,F,545
Ellen,F,544
Brent,M,544
Yadira,F,543
Elisa,F,542
Barbara,F,540
Delilah,F,538
Alexus,F,537
Triston,M,537
Melina,F,536
Madelynn,F,534
Precious,F,534
Carley,F,533
Tomas,M,533
Tiara,F,532
Zoie,F,531
Kenzie,F,530
Judah,M,530
Quincy,M,530
Rocco,M,530
Cara,F,529
Dayana,F,529
Jessie,F,529
Osvaldo,M,529
Destinee,F,527
Simone,F,527
Kody,M,525
Damion,M,524
Zachery,M,524
Annabella,F,523
Janet,F,523
Cruz,M,523
Rene,M,523
Cierra,F,522
India,F,522
Jaida,F,521
Kenny,M,521
Isis,F,519
Conor,M,519
Cristopher,M,519
Warren,M,519
Regan,F,518
Araceli,F,517
Greyson,M,517
Kasey,F,516
Marie,F,516
Leon,M,515
Jamal,M,514
Amira,F,513
Allan,M,513
Brendon,M,513
Gunnar,M,512
Amara,F,511
Tamia,F,511
Alvin,M,511
Aspen,F,510
Kristin,F,510
Deshawn,M,510
Danika,F,509
Arely,F,508
Marlon,M,508
Toby,M,508
Patience,F,507
Wilson,M,507
Judith,F,505
River,M,505
Willie,M,505
Mckayla,F,504
Renee,F,504
Colten,M,504
Juliet,F,503
