text,g,frequency
Sophia,F,22279
Emma,F,20914
Isabella,F,19082
Jacob,M,19045
Mason,M,18953
Ethan,M,17644
Noah,M,17323
Olivia,F,17296
William,M,16856
Liam,M,16785
Michael,M,16124
Jayden,M,16099
Ava,F,15518
Alexander,M,15219
Aiden,M,14873
Daniel,M,14251
Matthew,M,13952
Elijah,M,13833
Emily,F,13631
James,M,13393
Anthony,M,13173
Benjamin,M,12807
Abigail,F,12679
Joshua,M,12632
Andrew,M,12599
Joseph,M,12524
David,M,12507
Jackson,M,12468
Logan,M,12455
Mia,F,12004
Christopher,M,11873
Gabriel,M,11538
Samuel,M,11433
Madison,F,11380
Ryan,M,10931
Lucas,M,10692
John,M,10607
Nathan,M,10406
Isaac,M,10032
Dylan,M,9979
Caleb,M,9943
Elizabeth,F,9685
Chloe,F,9647
Christian,M,9603
Jonathan,M,9343
Landon,M,9335
Carter,M,9246
Ella,F,9185
Luke,M,8998
Owen,M,8684
Brayden,M,8492
Avery,F,8313
Gavin,M,8247
Wyatt,M,8207
Addison,F,8170
Isaiah,M,8136
Henry,M,8061
Eli,M,8051
Aubrey,F,8039
Hunter,M,8015
Lily,F,7950
Jack,M,7927
Evan,M,7890
Natalie,F,7887
Sofia,F,7823
Jordan,M,7791
Nicholas,M,7726
Tyler,M,7687
Aaron,M,7519
Charlotte,F,7471
Jeremiah,M,7458
Zoey,F,7457
Grace,F,7365
Julian,M,7364
Cameron,M,7350
Hannah,F,7269
Amelia,F,7238
Levi,M,7211
Harper,F,7184
Lillian,F,7150
Brandon,M,7023
Angel,M,7013
Austin,M,6988
Connor,M,6970
Adrian,M,6932
Robert,M,6929
Charles,M,6925
Samantha,F,6916
Evelyn,F,6870
Victoria,F,6853
Thomas,M,6830
Brooklyn,F,6776
Sebastian,M,6726
Zoe,F,6445
Colton,M,6347
Jaxon,M,6298
Layla,F,6255
Zachary,M,6248
Ayden,M,6217
Kevin,M,6215
Dominic,M,6174
Blake,M,6029
Jose,M,6028
Oliver,M,5913
Hailey,F,5902
Justin,M,5877
Bentley,M,5861
Leah,F,5762
Jason,M,5734
Chase,M,5682
Ian,M,5681
Kaylee,F,5607
Anna,F,5604
Josiah,M,5502
Aaliyah,F,5499
Gabriella,F,5487
Allison,F,5417
Nevaeh,F,5368
Xavier,M,5356
Parker,M,5353
Alexis,F,5341
Adam,M,5307
Audrey,F,5294
Cooper,M,5191
Savannah,F,5183
Sarah,F,5174
Alyssa,F,5080
Claire,F,4943
Taylor,F,4858
Riley,F,4820
Camila,F,4789
Nathaniel,M,4771
Jace,M,4711
Arianna,F,4709
Grayson,M,4706
Ashley,F,4696
Brianna,F,4631
Carson,M,4590
Sophie,F,4568
Peyton,F,4464
Nolan,M,4424
Tristan,M,4417
Luis,M,4364
Brody,M,4356
Bella,F,4337
Khloe,F,4305
Genesis,F,4295
Alexa,F,4290
Juan,M,4279
Serenity,F,4217
Hudson,M,4216
Kylie,F,4166
Aubree,F,4043
Scarlett,F,4041
Bryson,M,4025
Carlos,M,4002
Stella,F,3996
Maya,F,3964
Katherine,F,3946
Easton,M,3938
Julia,F,3874
Kayden,M,3858
Damian,M,3852
Alex,M,3849
Ryder,M,3807
Lucy,F,3806
Madelyn,F,3792
Jesus,M,3779
Cole,M,3775
Autumn,F,3768
Makayla,F,3762
Kayla,F,3760
Micah,M,3756
Mackenzie,F,3753
Vincent,M,3725
Max,M,3691
Lauren,F,3655
Jaxson,M,3653
Eric,M,3623
Gianna,F,3617
Ariana,F,3576
Asher,M,3554
Hayden,M,3532
Faith,F,3527
Alexandra,F,3479
Melanie,F,3463
Sydney,F,3450
Naomi,F,3415
Caroline,F,3413
Bailey,F,3401
Morgan,F,3396
Ellie,F,3383
Kennedy,F,3381
Jasmine,F,3371
Eva,F,3356
Skylar,F,3340
Diego,M,3334
Kimberly,F,3311
Violet,F,3272
Miles,M,3262
Molly,F,3254
Steven,M,3233
Trinity,F,3230
Aria,F,3227
Ivan,M,3226
Jocelyn,F,3225
Maxwell,M,3225
Elias,M,3219
Aidan,M,3213
London,F,3196
Bryce,M,3177
Lydia,F,3163
Madeline,F,3158
Antonio,M,3109
Timothy,M,3104
Reagan,F,3085
Giovanni,M,3085
Bryan,M,3076
Piper,F,3060
Annabelle,F,3050
Santiago,M,3046
Andrea,F,3042
Maria,F,3029
Colin,M,3021
Richard,M,3014
Braxton,M,3000
Kaleb,M,2986
Brooke,F,2969
Kyle,M,2960
Jonah,M,2943
Kaden,M,2941
Miguel,M,2937
Payton,F,2934
Preston,M,2934
Paisley,F,2917
Ruby,F,2910
Paige,F,2906
Lincoln,M,2904
Nora,F,2886
Mariah,F,2878
Riley,M,2876
Leo,M,2871
Victor,M,2864
Brady,M,2857
Mateo,M,2835
Jeremy,M,2833
Jaden,M,2821
Brian,M,2811
Patrick,M,2808
Ashton,M,2806
Rylee,F,2793
Lilly,F,2780
Declan,M,2780
Joel,M,2770
Sean,M,2770
Brielle,F,2764
Gael,M,2743
Sawyer,M,2735
Jade,F,2733
Alejandro,M,2724
Marcus,M,2712
Destiny,F,2705
Jesse,M,2692
Caden,M,2687
Leonardo,M,2682
Jake,M,2673
Kaiden,M,2660
Nicole,F,2651
Wesley,M,2641
Mila,F,2639
Kendall,F,2623
Liliana,F,2618
Kaitlyn,F,2596
Camden,M,2595
Edward,M,2589
Sadie,F,2587
Natalia,F,2585
Brantley,M,2576
Roman,M,2569
Mary,F,2566
Jordyn,F,2563
Vanessa,F,2550
Mya,F,2535
Penelope,F,2530
Alice,F,2499
Isabelle,F,2498
Silas,M,2491
Jude,M,2480
Axel,M,2474
Grant,M,2467
Reese,F,2459
Hadley,F,2417
Gabrielle,F,2416
Katelyn,F,2412
Rachel,F,2409
Angelina,F,2396
Isabel,F,2380
Eleanor,F,2375
Cayden,M,2371
Emmanuel,M,2342
George,M,2333
Clara,F,2332
Jessica,F,2327
Brooklynn,F,2320
Maddox,M,2309
Malachi,M,2307
Bradley,M,2289
Alan,M,2282
Weston,M,2282
Elena,F,2270
Gage,M,2266
Vivian,F,2258
Sara,F,2252
Aliyah,F,2251
Laila,F,2246
Eliana,F,2245
Greyson,M,2235
Devin,M,2234
Amy,F,2233
Lyla,F,2222
Juliana,F,2215
Kenneth,M,2213
Mark,M,2199
Oscar,M,2192
Tanner,M,2178
Rylan,M,2169
Adriana,F,2147
Valeria,F,2141
Nicolas,M,2129
Harrison,M,2122
Elise,F,2121
Makenzie,F,2121
Mckenzie,F,2114
Derek,M,2113
Quinn,F,2106
Delilah,F,2088
Ezra,M,2083
Cora,F,2079
Peyton,M,2074
Kylee,F,2048
Tucker,M,2039
Emmett,M,2023
Avery,M,2011
Rebecca,F,2008
Cody,M,2004
Gracie,F,1997
Izabella,F,1965
Calvin,M,1963
Abraham,M,1950
Josephine,F,1948
Paul,M,1947
Abel,M,1944
Andres,M,1944
Theodore,M,1941
Jorge,M,1939
Kai,M,1936
Eden,F,1934
Collin,M,1931
Alaina,F,1930
Ezekiel,M,1930
Michelle,F,1926
Jennifer,F,1922
Omar,M,1917
Jayce,M,1908
Bennett,M,1907
Catherine,F,1905
Aurora,F,1902
Valentina,F,1901
Conner,M,1899
Stephanie,F,1882
Trevor,M,1874
Valerie,F,1862
Peter,M,1861
Eduardo,M,1857
Maximus,M,1843
Jayla,F,1840
Jaiden,M,1822
Willow,F,1821
Jameson,M,1817
Seth,M,1810
Hazel,F,1784
Daisy,F,1781
Melody,F,1781
Alana,F,1777
Margaret,F,1773
Summer,F,1772
Kingston,M,1772
Melissa,F,1770
Javier,M,1770
Travis,M,1751
Kinsley,F,1750
Kinley,F,1747
Garrett,M,1741
Everett,M,1736
Ariel,F,1731
Lila,F,1726
Graham,M,1715
Xander,M,1711
Giselle,F,1709
Ryleigh,F,1709
Haley,F,1708
Ivy,F,1692
Julianna,F,1692
Alivia,F,1689
Cristian,M,1670
Damien,M,1660
Brynn,F,1655
Griffin,M,1651
Keira,F,1648
Ryker,M,1648
Kate,F,1642
Aniyah,F,1638
Angela,F,1636
Daniela,F,1636
Londyn,F,1619
Corbin,M,1617
Harmony,F,1615
Luca,M,1615
Myles,M,1615
Hayden,F,1612
Adalyn,F,1608
Zane,M,1588
Francisco,M,1566
Ricardo,M,1564
Stephen,M,1561
Alexis,M,1560
Megan,F,1558
Zayden,M,1554
Allie,F,1545
Gabriela,F,1544
Iker,M,1542
Drake,M,1541
Alayna,F,1540
Lukas,M,1539
Presley,F,1535
Spencer,M,1532
Charlie,M,1530
Zion,M,1528
Jenna,F,1521
Erick,M,1519
Alexandria,F,1516
Josue,M,1513
Ashlyn,F,1510
Jada,F,1509
Chance,M,1508
Trenton,M,1505
Jeffrey,M,1504
Adrianna,F,1503
Fiona,F,1502
Norah,F,1501
Elliot,M,1497
Paxton,M,1495
Emery,F,1483
Fernando,M,1481
Amaya,F,1474
Shane,M,1471
Miranda,F,1470
Landen,M,1470
Maci,F,1469
Keegan,M,1468
Amir,M,1464
Ximena,F,1462
Manuel,M,1462
Zander,M,1462
Cecilia,F,1461
Andre,M,1455
Ana,F,1454
Raymond,M,1454
Hope,F,1447
Israel,M,1446
Shelby,F,1444
Katie,F,1442
Mario,M,1442
Simon,M,1442
Cesar,M,1434
Jaylen,M,1430
King,M,1430
Jordan,F,1420
Callie,F,1415
Luna,F,1412
Eliza,F,1411
Leilani,F,1408
Johnathan,M,1401
Mckenna,F,1397
Angel,F,1396
Genevieve,F,1388
Isla,F,1385
Troy,M,1385
Makenna,F,1384
Lola,F,1378
Dean,M,1376
Danielle,F,1371
Leila,F,1362
Clayton,M,1362
Dominick,M,1360
Tessa,F,1359
Chelsea,F,1356
Adelyn,F,1348
Jasper,M,1347
Martin,M,1347
Tyson,M,1347
Adeline,F,1342
Camille,F,1339
Mikayla,F,1337
Esther,F,1334
Adalynn,F,1330
Kyler,M,1327
Sienna,F,1324
Hector,M,1323
Jacqueline,F,1319
Edgar,M,1316
Cash,M,1314
Arabella,F,1312
Emerson,F,1311
Athena,F,1304
Marco,M,1304
Lucia,F,1303
Edwin,M,1303
Maggie,F,1302
Lexi,F,1297
Judah,M,1295
Shawn,M,1294
Ayla,F,1289
Alexia,F,1283
Diana,F,1283
Josie,F,1274
Juliet,F,1270
Donovan,M,1270
Andy,M,1268
Kameron,M,1267
Addyson,F,1266
Allyson,F,1266
Elliott,M,1262
Delaney,F,1259
Dante,M,1250
Braylon,M,1248
Anderson,M,1247
Rose,F,1245
Teagan,F,1243
Marley,F,1239
Drew,M,1235
Sergio,M,1233
Johnny,M,1232
Amber,F,1231
Cruz,M,1229
Amanda,F,1228
Erin,F,1228
Dalton,M,1228
Rafael,M,1228
Kathryn,F,1226
Gregory,M,1226
Skyler,M,1225
Kayleigh,F,1224
Lane,M,1223
Leslie,F,1219
Erik,M,1215
Finn,M,1214
Emilia,F,1211
Kelsey,F,1211
Reid,M,1204
Kenzie,F,1203
Alina,F,1201
Gunner,M,1199
Jared,M,1198
Kaydence,F,1196
Alicia,F,1195
Caiden,M,1190
Sabrina,F,1188
Alison,F,1182
Paris,F,1182
Holden,M,1176
Lilliana,F,1175
Ashlynn,F,1174
Emilio,M,1170
Sierra,F,1161
Fabian,M,1160
Aden,M,1151
Brendan,M,1147
Rowan,M,1146
Laura,F,1140
Emiliano,M,1137
Cassidy,F,1135
Braden,M,1134
Iris,F,1132
Alondra,F,1125
Jase,M,1125
Christina,F,1121
Jax,M,1121
Kyla,F,1114
Carly,F,1109
Jillian,F,1101
Madilyn,F,1098
Evangeline,F,1095
Emanuel,M,1093
Cadence,F,1091
Madeleine,F,1091
Kyleigh,F,1089
Nina,F,1088
Lorenzo,M,1087
Nadia,F,1084
Lyric,F,1082
Raegan,F,1081
Roberto,M,1073
Giuliana,F,1072
Amari,M,1072
Beau,M,1066
Georgia,F,1065
Briana,F,1063
Angelo,M,1063
Elliana,F,1060
Phoebe,F,1059
Haylee,F,1058
Fatima,F,1057
Yaretzi,F,1057
Louis,M,1056
Derrick,M,1051
Selena,F,1046
Charlie,F,1045
Miriam,F,1042
Beckett,M,1041
Felix,M,1038
Abby,F,1036
Annabella,F,1036
Dakota,F,1035
Dawson,M,1034
Juliette,F,1032
Lilah,F,1031
Bianca,F,1027
Daniella,F,1027
Noelle,F,1026
Mariana,F,1024
Parker,F,1024
Veronica,F,1019
Pedro,M,1016
Gemma,F,1014
Cheyenne,F,1012
Brennan,M,1010
Marissa,F,1000
Heaven,F,993
Vivienne,F,988
Frank,M,985
Quinn,M,984
Dallas,M,979
Romeo,M,978
Maximiliano,M,977
Joaquin,M,970
Joanna,F,967
Waylon,M,967
Milo,M,966
Brynlee,F,965
Braylen,M,964
Aubrie,F,962
Mallory,F,959
Allen,M,957
Colt,M,957
Ruben,M,955
