text,g,frequency
Spencer,M,2314
Margaret,F,2311
Edwin,M,2303
Mario,M,2297
Zoey,F,2270
Aubrey,F,2263
Dalton,M,2254
Erick,M,2243
Johnathan,M,2241
Skylar,F,2239
Erik,M,2227
Genesis,F,2224
Jonah,M,2221
Kylee,F,2196
Courtney,F,2195
Payton,F,2183
Donovan,M,2181
Kiara,F,2149
Leonardo,M,2144
Alexia,F,2125
Jillian,F,2121
Elias,M,2116
Marco,M,2114
Wesley,M,2110
Trenton,M,2102
Lindsey,F,2094
Devon,M,2094
Mckenzie,F,2077
Karen,F,2063
Mariana,F,2059
Giselle,F,2057
Abraham,M,2045
Brody,M,2034
Valerie,F,2033
Jaylen,M,1996
Serenity,F,1985
Sabrina,F,1978
Bryson,M,1977
Alana,F,1972
Cheyenne,F,1965
Lucy,F,1962
Kelsey,F,1960
Raymond,M,1959
Kelly,F,1951
Sadie,F,1951
Josue,M,1951
Drew,M,1949
Juliana,F,1948
Sergio,M,1948
Damien,M,1936
Bianca,F,1923
Nadia,F,1920
Andy,M,1918
Kyra,F,1912
Jasmin,F,1905
Lilly,F,1904
Gregory,M,1901
Caitlyn,F,1896
Dillon,M,1895
Ellie,F,1888
Hope,F,1887
Roberto,M,1877
Cassandra,F,1866
Jazmin,F,1864
Roman,M,1860
Crystal,F,1854
Jordyn,F,1843
Martin,M,1835
Cassidy,F,1833
Delaney,F,1828
Andre,M,1825
Jace,M,1796
Liliana,F,1795
Oliver,M,1792
Angelica,F,1788
Caitlin,F,1774
Adrianna,F,1768
Kyla,F,1768
Tiffany,F,1765
Jayla,F,1764
Miles,M,1755
Abby,F,1753
Carly,F,1747
Chelsea,F,1734
Erica,F,1717
Harrison,M,1717
Camila,F,1716
Karla,F,1713
Makenzie,F,1711
Jalen,M,1707
Corey,M,1703
Paris,F,1693
Dominick,M,1688
Veronica,F,1678
Cadence,F,1668
Avery,M,1662
Bella,F,1660
Brenda,F,1660
Clayton,M,1660
Mckenna,F,1657
Maggie,F,1656
Israel,M,1654
Pedro,M,1645
Karina,F,1630
Julianna,F,1617
Makenna,F,1617
Calvin,M,1617
Erika,F,1616
Esmeralda,F,1615
Elena,F,1603
Colby,M,1602
Jamie,F,1599
Dawson,M,1599
Mallory,F,1585
Alejandra,F,1583
Taylor,M,1576
Cynthia,F,1572
Cayden,M,1572
Ariel,F,1566
Jaiden,M,1565
Vivian,F,1558
Landen,M,1536
Troy,M,1525
Jayden,F,1519
Julio,M,1515
Amaya,F,1513
Dakota,F,1511
Bethany,F,1502
Elise,F,1494
Rafael,M,1490
Trey,M,1490
Josephine,F,1488
Jaxon,M,1488
Haylee,F,1481
Aniyah,F,1480
Frank,M,1479
Dustin,M,1474
Scott,M,1474
Keira,F,1467
Ruben,M,1464
Camden,M,1463
Aliyah,F,1459
Laila,F,1452
Mitchell,M,1446
Camryn,F,1442
Zane,M,1433
Payton,M,1428
Fatima,F,1422
Reese,F,1413
Kai,M,1410
Monica,F,1409
Annabelle,F,1404
Skyler,M,1401
Lindsay,F,1398
Johnny,M,1392
Keegan,M,1390
Brett,M,1389
Kira,F,1387
Selena,F,1375
Griffin,M,1374
Derrick,M,1372
Macy,F,1368
Marcos,M,1360
Hanna,F,1342
Drake,M,1336
Heaven,F,1332
Raul,M,1332
Katrina,F,1326
Clara,F,1324
Braxton,M,1315
Kaiden,M,1314
Jadyn,F,1312
Gerardo,M,1312
Jazmine,F,1311
Simon,M,1311
Armando,M,1309
Stella,F,1308
Grayson,M,1306
Ronald,M,1301
Kailey,F,1298
Kayden,M,1297
Angelo,M,1293
Nina,F,1287
Alaina,F,1281
Allie,F,1280
Rebekah,F,1280
Chance,M,1273
Guadalupe,F,1272
Leo,M,1272
Allyson,F,1271
Savanna,F,1269
Piper,F,1259
Brock,M,1259
Enrique,M,1258
Lukas,M,1257
Alison,F,1256
Jaime,M,1255
Lance,M,1254
Malik,M,1251
Aniya,F,1246
Kendra,F,1242
Cameron,F,1240
Dante,M,1240
Eleanor,F,1237
Tyson,M,1236
Hayley,F,1234
Kayleigh,F,1233
Phillip,M,1233
Fabian,M,1229
Carmen,F,1227
Emanuel,M,1227
Kara,F,1225
Trent,M,1224
Allen,M,1223
Tessa,F,1222
Tucker,M,1222
Ashlee,F,1218
Meghan,F,1218
Emilio,M,1214
Jakob,M,1214
Hudson,M,1209
Maddox,M,1206
Santiago,M,1203
Celeste,F,1202
Xander,M,1201
Kamryn,F,1199
Brooklynn,F,1197
Nora,F,1197
Aden,M,1197
Brittany,F,1193
Lizbeth,F,1192
Julissa,F,1190
Cecilia,F,1187
Esther,F,1187
Jaden,F,1187
Miriam,F,1182
Julie,F,1181
Rylan,M,1180
Kameron,M,1175
Kyler,M,1175
Pablo,M,1169
Joanna,F,1166
Keith,M,1165
Cade,M,1162
Asia,F,1161
Desiree,F,1160
Adan,M,1154
Asher,M,1154
Michaela,F,1153
Donald,M,1150
Alayna,F,1148
Alivia,F,1141
Camille,F,1139
Alberto,M,1137
Carolina,F,1132
Darius,M,1132
Alec,M,1127
Anastasia,F,1125
Tatiana,F,1124
Zion,M,1117
Gustavo,M,1113
Katelynn,F,1112
Saul,M,1112
Ryder,M,1109
Ashlynn,F,1107
Estrella,F,1104
Kaylie,F,1101
Casey,M,1101
Gael,M,1100
Theodore,M,1095
Arturo,M,1093
Mathew,M,1090
Mateo,M,1087
Jimmy,M,1085
Quinn,M,1084
Jude,M,1083
Randy,M,1082
Emely,F,1079
Sienna,F,1075
Sawyer,M,1069
Heather,F,1066
Ezekiel,M,1066
Zackary,M,1066
Corbin,M,1065
Myles,M,1063
Diamond,F,1057
