text,g,frequency
Jacob,M,30558
Michael,M,28242
Joshua,M,25980
Matthew,M,25149
Emily,F,24459
Ethan,M,22105
Andrew,M,22016
Joseph,M,21889
Madison,F,21772
Christopher,M,21674
Nicholas,M,21387
Daniel,M,21305
William,M,20119
Anthony,M,19579
Hannah,F,18817
David,M,18665
Tyler,M,18261
Alexander,M,17708
Ryan,M,17656
John,M,17442
James,M,16953
Zachary,M,16622
Emma,F,16531
Brandon,M,16271
Alexis,F,15634
Jonathan,M,15508
Ashley,F,15339
Abigail,F,15294
Justin,M,14901
Dylan,M,14817
Sarah,F,14752
Samantha,F,14659
Olivia,F,14628
Elizabeth,F,14593
Christian,M,14587
Samuel,M,14553
Austin,M,14535
Benjamin,M,13476
Nathan,M,13219
Logan,M,12970
Jose,M,12860
Alyssa,F,12842
Lauren,F,12323
Isabella,F,12165
Noah,M,12065
Grace,F,12053
Gabriel,M,12052
Kevin,M,12043
Robert,M,12024
Jessica,F,11913
Caleb,M,11655
Brianna,F,11517
Taylor,F,11465
Kayla,F,11308
Thomas,M,11291
Jordan,M,11145
Hunter,M,11083
Anna,F,10383
Cameron,M,10336
Kyle,M,10060
Elijah,M,10050
Jason,M,9953
Victoria,F,9780
Megan,F,9209
Sydney,F,9032
Aaron,M,8999
Jack,M,8996
Isaiah,M,8958
Rachel,F,8922
Chloe,F,8898
Jasmine,F,8863
Luke,M,8692
Sophia,F,8663
Jennifer,F,8537
Morgan,F,8432
Connor,M,8409
Natalie,F,8350
Isaac,M,8304
Angel,M,8185
Jackson,M,8152
Brian,M,8081
Hailey,F,7990
Kaitlyn,F,7978
Julia,F,7963
Eric,M,7926
Mason,M,7878
Juan,M,7817
Destiny,F,7795
Adam,M,7749
Haley,F,7449
Evan,M,7385
Luis,M,7377
Katherine,F,7212
Charles,M,7203
Sean,M,7029
Nicole,F,6972
Aidan,M,6952
Gavin,M,6949
Alexandra,F,6934
Nathaniel,M,6809
Alex,M,6805
Bryan,M,6614
Carlos,M,6586
Savannah,F,6579
Maria,F,6381
Jesus,M,6366
Ian,M,6360
Mackenzie,F,6266
Stephanie,F,6266
Mia,F,6257
Allison,F,6238
Steven,M,6216
Jordan,F,6151
Amanda,F,6132
Cole,M,6035
Timothy,M,6014
Cody,M,5934
Seth,M,5736
Adrian,M,5679
Jenna,F,5664
Faith,F,5523
Makayla,F,5476
Paige,F,5466
Mary,F,5455
Devin,M,5435
Lucas,M,5378
Blake,M,5357
Brooke,F,5337
Richard,M,5317
Katelyn,F,5265
Julian,M,5223
Rebecca,F,5210
Patrick,M,5152
Sebastian,M,5136
Andrea,F,5117
Madeline,F,5113
Trevor,M,5060
Kaylee,F,4980
Michelle,F,4947
Sara,F,4936
Zoe,F,4884
Chase,M,4858
