text,g,frequency
Emma,F,20886
Olivia,F,19761
Noah,M,19229
Sophia,F,18563
Liam,M,18421
Mason,M,17157
Isabella,F,17027
Jacob,M,16812
William,M,16776
Ethan,M,15691
Ava,F,15660
Michael,M,15400
Alexander,M,15362
James,M,14383
Daniel,M,13887
Elijah,M,13763
Benjamin,M,13761
Logan,M,13615
Mia,F,13484
Aiden,M,13365
Jayden,M,12923
Matthew,M,12866
Emily,F,12622
Jackson,M,12183
David,M,12159
Lucas,M,12132
Joseph,M,12080
Abigail,F,12049
Anthony,M,11538
Andrew,M,11124
Samuel,M,10948
Gabriel,M,10881
Joshua,M,10843
John,M,10659
Carter,M,10647
Luke,M,10480
Dylan,M,10394
Christopher,M,10322
Madison,F,10291
Charlotte,F,10094
Isaac,M,9938
Harper,F,9601
Sofia,F,9576
Avery,F,9552
Elizabeth,F,9537
Oliver,M,9411
Henry,M,9406
Sebastian,M,9281
Caleb,M,9187
Owen,M,9135
Ryan,M,9056
Nathan,M,8937
Wyatt,M,8847
Hunter,M,8791
Amelia,F,8770
Evelyn,F,8734
Jack,M,8726
Ella,F,8525
Chloe,F,8507
Christian,M,8429
Landon,M,8205
Jonathan,M,8075
Levi,M,8013
Victoria,F,7981
Jaxon,M,7675
Julian,M,7648
Aubrey,F,7616
Grace,F,7602
Isaiah,M,7583
Eli,M,7469
Zoey,F,7384
Aaron,M,7368
Charles,M,7315
Connor,M,7215
Natalie,F,7089
Cameron,M,7036
Thomas,M,7002
Addison,F,6974
Lillian,F,6898
Jordan,M,6834
Jeremiah,M,6829
Brooklyn,F,6791
Lily,F,6760
Nicholas,M,6744
Evan,M,6694
Adrian,M,6675
Robert,M,6612
Gavin,M,6603
Brayden,M,6560
Grayson,M,6556
Hannah,F,6551
Layla,F,6442
Josiah,M,6414
Colton,M,6368
Austin,M,6295
Angel,M,6284
Jace,M,6276
Dominic,M,6228
Scarlett,F,5994
Aria,F,5912
Kevin,M,5877
Zoe,F,5857
Brandon,M,5829
Tyler,M,5811
Samantha,F,5709
Parker,M,5697
Anna,F,5663
Ayden,M,5604
Leah,F,5590
Audrey,F,5555
Jason,M,5539
Ariana,F,5478
Jose,M,5467
Allison,F,5456
Savannah,F,5455
Ian,M,5438
Chase,M,5340
Adam,M,5318
Arianna,F,5255
Hudson,M,5229
Camila,F,5211
Nolan,M,5196
Zachary,M,5162
Penelope,F,5078
Gabriella,F,5071
Claire,F,5007
Easton,M,4978
Blake,M,4930
Jaxson,M,4916
Aaliyah,F,4871
Sadie,F,4849
Cooper,M,4830
Lincoln,M,4809
Riley,F,4782
