text,g,frequency
Jacob,M,22574
Michael,M,20601
Ethan,M,20198
Joshua,M,19188
Daniel,M,18993
Emma,F,18803
Alexander,M,18685
Isabella,F,18607
William,M,18383
Anthony,M,18382
Christopher,M,17936
Matthew,M,17576
Emily,F,17422
Jayden,M,17133
Olivia,F,17072
Ava,F,17030
Madison,F,17020
Andrew,M,16747
Joseph,M,16550
David,M,16307
Sophia,F,16075
Noah,M,15778
Aiden,M,15573
James,M,15158
Abigail,F,15073
Ryan,M,14675
Logan,M,13843
John,M,13310
Nathan,M,13250
Elijah,M,13217
Christian,M,13049
Gabriel,M,13019
Benjamin,M,12940
Jonathan,M,12879
Samuel,M,12745
Tyler,M,12690
Nicholas,M,12512
Elizabeth,F,11990
Chloe,F,11818
Gavin,M,11742
Dylan,M,11695
Jackson,M,11630
Brandon,M,11466
Samantha,F,11175
Addison,F,10755
Caleb,M,10563
Mason,M,10474
Angel,M,10347
Natalie,F,10195
Mia,F,10166
Isaac,M,10014
Evan,M,9920
Jack,M,9892
Jose,M,9811
Kevin,M,9788
Alexis,F,9714
Isaiah,M,9649
Alyssa,F,9631
Hannah,F,9556
Luke,M,9412
Ashley,F,9402
Justin,M,9352
Landon,M,9348
Ella,F,9347
Lucas,M,9320
Zachary,M,9222
Jordan,M,9077
Grace,F,9032
Sarah,F,9032
Robert,M,8821
Aaron,M,8536
Brayden,M,8429
Thomas,M,8353
Taylor,F,8332
Cameron,M,8284
Brianna,F,8253
Lily,F,8114
Hunter,M,8031
Austin,M,7980
Adrian,M,7923
Hailey,F,7861
Connor,M,7811
Owen,M,7793
Aidan,M,7695
Jason,M,7649
Julian,M,7456
Wyatt,M,7307
Charles,M,7278
Anna,F,7262
Luis,M,7130
Victoria,F,7115
Carter,M,7059
Juan,M,7028
Chase,M,6996
Kayla,F,6828
Lillian,F,6806
Jeremiah,M,6575
Diego,M,6569
Lauren,F,6448
Brody,M,6297
Kaylee,F,6292
Xavier,M,6274
Allison,F,6238
Savannah,F,6121
Nevaeh,F,6092
Adam,M,6088
Carlos,M,6045
Sebastian,M,6034
Gabriella,F,6024
Sofia,F,5980
Liam,M,5976
Makayla,F,5944
Hayden,M,5942
Nathaniel,M,5847
Avery,F,5828
Henry,M,5776
Riley,F,5763
Jesus,M,5754
Ian,M,5720
Tristan,M,5654
Leah,F,5624
Julia,F,5615
Aubrey,F,5562
Jasmine,F,5516
Bryan,M,5503
Sean,M,5463
Audrey,F,5437
Alex,M,5393
Cole,M,5386
Eric,M,5372
Katherine,F,5343
Morgan,F,5333
Brooklyn,F,5305
Destiny,F,5302
Sydney,F,5257
Brian,M,5255
Alexa,F,5223
Kylie,F,5189
Jaden,M,5185
Brooke,F,5180
Carson,M,5126
Kaitlyn,F,5113
Evelyn,F,5094
Blake,M,5093
Ayden,M,5054
Cooper,M,5045
Dominic,M,4953
Layla,F,4927
Madeline,F,4816
Brady,M,4813
Kimberly,F,4809
Zoe,F,4779
Caden,M,4767
Josiah,M,4762
Jessica,F,4732
Peyton,F,4730
Kyle,M,4696
Alexandra,F,4608
Claire,F,4598
Maria,F,4583
Madelyn,F,4562
Colton,M,4545
Eli,M,4511
Kaden,M,4495
Mackenzie,F,4472
Miguel,M,4444
Arianna,F,4417
Antonio,M,4370
Jocelyn,F,4366
Amelia,F,4345
Parker,M,4315
Angelina,F,4296
Trinity,F,4267
Maya,F,4263
Andrea,F,4259
Steven,M,4225
Valeria,F,4204
Alejandro,M,4165
Riley,M,4125
Timothy,M,4087
Rachel,F,4077
Sophie,F,4062
Richard,M,4053
Aaliyah,F,4038
Mariah,F,4031
Vanessa,F,4029
Gabrielle,F,4020
Devin,M,4003
Katelyn,F,3974
Jesse,M,3946
Ariana,F,3906
Bailey,F,3897
Camila,F,3844
Jennifer,F,3791
Jake,M,3791
Victor,M,3780
Joel,M,3736
Colin,M,3728
Melanie,F,3712
Kaleb,M,3706
Levi,M,3682
Charlotte,F,3667
Gianna,F,3666
Bryce,M,3660
Autumn,F,3656
Paige,F,3640
Faith,F,3621
Payton,F,3606
Oliver,M,3600
Sara,F,3589
Vincent,M,3577
Isabelle,F,3566
Oscar,M,3560
Caroline,F,3540
Micah,M,3520
Genesis,F,3518
Ashton,M,3512
Cody,M,3501
Mary,F,3493
Isabel,F,3486
Preston,M,3458
Zoey,F,3445
Gracie,F,3423
Megan,F,3408
Marcus,M,3387
Max,M,3369
Michelle,F,3335
Mya,F,3335
Patrick,M,3333
Haley,F,3330
Molly,F,3321
Stephanie,F,3314
Nicole,F,3286
Seth,M,3278
Jeremy,M,3248
Jenna,F,3239
Natalia,F,3238
Peyton,M,3220
Sadie,F,3160
Jada,F,3154
Nolan,M,3149
Serenity,F,3104
Ivan,M,3104
Damian,M,3076
Lucy,F,3066
Maxwell,M,3056
Alan,M,3026
Ruby,F,3015
Jonah,M,2976
Eva,F,2964
Jorge,M,2960
Kenneth,M,2958
Kennedy,F,2950
Rylee,F,2929
Jayla,F,2923
